"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-18;16916.74;16916.74;16916.74;16916.74;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-19;17199.53;17199.53;17199.53;17199.53;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-20;17155.16;17155.16;17155.16;17155.16;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-21;16941.75;16941.75;16941.75;16941.75;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-24;16999.3;16999.3;16999.3;16999.3;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-25;16924.06;16924.06;16924.06;16924.06;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-26;17001.97;17001.97;17001.97;17001.97;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-27;17122.71;17122.71;17122.71;17122.71;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-28;16878.34;16878.34;16878.34;16878.34;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-07-31;16885.52;16885.52;16885.52;16885.52;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-01;17091.8;17091.8;17091.8;17091.8;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-02;17348.6;17348.6;17348.6;17348.6;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-03;17327.45;17327.45;17327.45;17327.45;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-04;17211.85;17211.85;17211.85;17211.85;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-07;17352.59;17352.59;17352.59;17352.59;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-08;17530.3;17530.3;17530.3;17530.3;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-09;17365.15;17365.15;17365.15;17365.15;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-10;17213.6;17213.6;17213.6;17213.6;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-11;17064.82;17064.82;17064.82;17064.82;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-14;17124.79;17124.79;17124.79;17124.79;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-15;17113.36;17113.36;17113.36;17113.36;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-16;17032.18;17032.18;17032.18;17032.18;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-17;17002.74;17002.74;17002.74;17002.74;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-18;16909.95;16909.95;16909.95;16909.95;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-21;16972.71;16972.71;16972.71;16972.71;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-22;17066.68;17066.68;17066.68;17066.68;16343372577.2;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-23;17180.34;17180.34;17180.34;17180.34;23648541246.9;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-24;17318.14;17318.14;17318.14;17318.14;24344043833.7;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-25;17381.86;17381.86;17381.86;17381.86;25480963129.5;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-28;17469.37;17469.37;17469.37;17469.37;15685351884.5;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-29;17479.85;17479.85;17479.85;17479.85;23856981415.6;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-30;17686.37;17686.37;17686.37;17686.37;28073357582.8;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-08-31;17803.54;17803.54;17803.54;17803.54;37000423210.1;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-01;17697.27;17697.27;17697.27;17697.27;23090805780.4;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-04;17618.68;17618.68;17618.68;17618.68;15642451697.2;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-05;17612.48;17612.48;17612.48;17612.48;21583059458.6;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-06;17705.42;17705.42;17705.42;17705.42;22944863853.2;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-07;17671.81;17671.81;17671.81;17671.81;24330383918.5;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-08;17892.01;17892.01;17892.01;17892.01;30195118192.4;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-11;18007.32;18007.32;18007.32;18007.32;29167675852.7;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-12;18139.04;18139.04;18139.04;18139.04;24910607193;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-13;18098.22;18098.22;18098.22;18098.22;30724898948.1;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-14;18114.08;18114.08;18114.08;18114.08;24488579148.9;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-15;18119.13;18119.13;18119.13;18119.13;28548938793.3;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-18;18169.79;18169.79;18169.79;18169.79;22304821471.7;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-19;18087.61;18087.61;18087.61;18087.61;22705497887.2;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2017-09-20;18164.89;18164.89;18164.89;18164.89;24516271191.6;;
